Account Number,Meter ID,Service Address,Read Date,Previous Read Date,Read Type,Previous Reading (kWh),Current Reading (kWh),Usage (kWh),Demand (kW),Tariff Code,Rate ($/kWh),Amount ($),Billing Period Start,Billing Period End
ACC-2024-001,MTR-A-001,"Building A, 123 Industrial Park, Mumbai",2024-03-15,2024-02-14,A,138450,145230,6780,82.3,C&I-HT,7.85,53223.00,2024-02-14,2024-03-15
ACC-2024-001,MTR-A-002,"Building A, Mumbai (HVAC Sub-meter)",2024-03-15,2024-02-14,A,19800,23100,3300,,C&I-HT,7.85,25905.00,2024-02-14,2024-03-15
ACC-2024-001,MTR-A-001,"Building A, 123 Industrial Park, Mumbai",2024-04-12,2024-03-15,A,145230,152870,7640,89.5,C&I-HT,7.85,59954.00,2024-03-15,2024-04-12
ACC-2024-001,MTR-A-002,"Building A, Mumbai (HVAC Sub-meter)",2024-04-12,2024-03-15,A,23100,26340,3240,,C&I-HT,7.85,25434.00,2024-03-15,2024-04-12
ACC-2024-001,MTR-A-001,"Building A, 123 Industrial Park, Mumbai",2024-05-14,2024-04-12,E,152870,161200,8330,95.2,C&I-HT,8.10,67473.00,2024-04-12,2024-05-14
ACC-2024-001,MTR-A-002,"Building A, Mumbai (HVAC Sub-meter)",2024-05-14,2024-04-12,E,26340,30180,3840,,C&I-HT,8.10,31104.00,2024-04-12,2024-05-14
ACC-2024-002,MTR-B-001,"Building B, 456 Tech Campus, Pune",2024-03-18,2024-02-16,A,78200,82350,4150,51.7,C&I-LT,6.50,26975.00,2024-02-16,2024-03-18
ACC-2024-002,MTR-B-001,"Building B, 456 Tech Campus, Pune",2024-04-17,2024-03-18,A,82350,86900,4550,54.2,C&I-LT,6.50,29575.00,2024-03-18,2024-04-17
ACC-2024-002,MTR-B-001,"Building B, 456 Tech Campus, Pune",2024-05-16,2024-04-17,A,86900,92100,5200,61.3,C&I-LT,6.75,35100.00,2024-04-17,2024-05-16
ACC-2024-002,MTR-B-001,"Building B, 456 Tech Campus, Pune",2024-06-17,2024-05-16,E,92100,97800,5700,65.8,C&I-LT,6.75,38475.00,2024-05-16,2024-06-17
ACC-2024-003,MTR-C-001,"Warehouse C, Chennai",2024-03-20,2024-02-19,A,201500,206300,4800,45.1,IND-MV,5.90,28320.00,2024-02-19,2024-03-20
ACC-2024-003,MTR-C-001,"Warehouse C, Chennai",2024-04-19,2024-03-20,A,206300,210900,4600,43.8,IND-MV,5.90,27140.00,2024-03-20,2024-04-19
ACC-2024-003,MTR-C-002,"Warehouse C, Chennai (Cold Storage)",2024-04-19,2024-03-20,A,54200,58900,4700,,IND-MV,5.90,27730.00,2024-03-20,2024-04-19
ACC-2024-003,MTR-C-001,"Warehouse C, Chennai",2024-05-20,2024-04-19,A,210900,216200,5300,48.9,IND-MV,6.10,32330.00,2024-04-19,2024-05-20
ACC-2024-003,MTR-C-002,"Warehouse C, Chennai (Cold Storage)",2024-05-20,2024-04-19,A,58900,64100,5200,,IND-MV,6.10,31720.00,2024-04-19,2024-05-20
ACC-2024-003,MTR-C-001,"Warehouse C, Chennai",2024-06-19,2024-05-20,A,216200,222100,5900,52.4,IND-MV,6.10,35990.00,2024-05-20,2024-06-19
ACC-2024-003,MTR-C-002,"Warehouse C, Chennai (Cold Storage)",2024-06-19,2024-05-20,E,64100,69800,5700,,IND-MV,6.10,34770.00,2024-05-20,2024-06-19
ACC-2024-001,MTR-A-003,"Building A, Mumbai (Server Room)",2024-04-12,2024-03-15,A,8900,10250,1350,,C&I-HT,7.85,10597.50,2024-03-15,2024-04-12
ACC-2024-001,MTR-A-003,"Building A, Mumbai (Server Room)",2024-05-14,2024-04-12,A,10250,11720,1470,,C&I-HT,8.10,11907.00,2024-04-12,2024-05-14
ACC-2024-001,MTR-A-003,"Building A, Mumbai (Server Room)",2024-06-13,2024-05-14,A,11720,13400,1680,,C&I-HT,8.10,13608.00,2024-05-14,2024-06-13
